fitness_gain,fatigue_gain,fitness_decay,fatigue_decay
2.42581742103511,3.161262794767494,15.35,7.77
2.317143766759549,3.088126461457188,15.43,7.46
2.4311292287396147,3.3134430760397247,16.06,8.5
2.4686680978952658,3.1853128120215204,15.91,8.68
2.4841510443497246,3.1034871866656504,14.69,7.95
2.5917067147201704,3.335162272331016,16.35,8.56
2.471139984464152,3.137798504762095,14.94,7.81
2.436188400066679,3.3372024778255622,17.22,8.33
2.356759685142708,3.052525594551365,15.42,8.23
2.3074771725055423,3.007363757177022,15.78,8.03
2.5217128206968162,3.320239780927065,17.01,9.09
2.4857814735882466,3.3305470919127576,17.07,8.91
2.5625603321600425,3.3222314878190686,15.53,8.2
2.4740756196586022,3.218904089474344,14.36,7.03
2.364196084680043,3.2411271615533757,15.34,7.78
2.4372034742774487,3.0677199639326074,13.69,7.65
2.277885249778821,3.132700523441944,15.96,7.79
2.3235700106849446,3.104973293555952,15.89,8.84
2.570069393074023,3.2383378116178125,14.74,8.23
2.4617147053468456,3.16182049729734,13.06,7.11
2.4722216722878763,3.232618298356219,16.07,7.86
2.555666543307181,3.317409857858613,16.46,8.66
2.4390377925407023,3.110229184397355,15.83,8.94
2.40823501360631,3.13857408802629,15.17,7.78
2.236456634005641,3.034650637914413,16.48,8.1
2.437427651028597,3.278426704411669,15.82,7.89
2.333894552947625,3.1536979348526506,15.83,7.97
2.3719755853172155,3.1207381211671383,16.04,8.32
2.408724647240626,3.12160101792343,16.8,9.21
2.442297365107227,3.21084588152585,15.5,8.06
2.268204146446225,3.0339322614093436,16.44,8.16
2.4157587137106145,3.2463898328487466,16.47,8.32
2.4322427554652832,3.127936239464426,16.76,9.28
2.3976194495515943,3.1882772791198706,16.56,8.9
2.475057179955989,3.204251395661992,15.23,8.0
2.478725261271922,3.155879631119186,14.88,8.05
2.330169087230696,3.0282043596083024,14.22,6.79
2.3918611257998466,3.125108613358581,15.8,7.74
2.493811825920107,3.189307579360185,16.12,8.67
2.4214209334926395,3.2029629707099163,15.66,7.9
2.443848692041226,3.1319228598563513,14.74,7.63
2.3690301764836277,3.1347573243717672,14.52,7.33
2.561836030323631,3.2893854272864007,14.69,7.84
2.428263826277485,3.116179287967162,15.16,7.78
2.4645286721790125,3.2637849207421294,14.81,7.65
2.440878973037489,3.201281951632639,14.01,7.63
2.288942778726242,2.957999121895672,15.62,8.13
2.390378697524667,3.3017467138405006,14.49,6.45
2.516535200602838,3.2901040869893268,15.22,8.04
2.511997765836752,3.173093411278258,15.09,8.89
2.413682907176571,3.184364726668741,18.35,9.96
2.3748746146717776,3.086590167288587,16.49,8.87
2.50258128845666,3.1850971842135967,14.99,8.32
