Exercise|Percent1RM|Reps|Timestamp
1|50|5|03/03/2020 16:00
1|70|3|03/03/2020 16:03
1|70|3|03/03/2020 16:06
1|70|3|03/03/2020 16:09
1|75|3|03/03/2020 16:12
1|75|3|03/03/2020 16:15
1|75|3|03/03/2020 16:18
1|75|3|03/03/2020 16:21
1|75|3|03/03/2020 16:24
1|50|5|03/03/2020 16:27
1|60|5|03/03/2020 16:30
1|70|4|03/03/2020 16:33
1|70|4|03/03/2020 16:36
1|70|4|03/03/2020 16:39
1|70|4|03/03/2020 16:42
1|50|5|03/05/2020 16:00
1|60|5|03/05/2020 16:03
1|70|4|03/05/2020 16:06
1|70|4|03/05/2020 16:09
1|75|3|03/05/2020 16:12
1|75|3|03/05/2020 16:15
1|80|2|03/05/2020 16:18
1|80|2|03/05/2020 16:21
1|75|3|03/05/2020 16:24
1|75|3|03/05/2020 16:27
1|70|4|03/05/2020 16:30
1|60|5|03/05/2020 16:33
1|50|6|03/05/2020 16:36
1|50|5|03/07/2020 16:00
1|60|4|03/07/2020 16:03
1|70|3|03/07/2020 16:06
1|70|3|03/07/2020 16:09
1|80|2|03/07/2020 16:12
1|80|2|03/07/2020 16:15
1|80|2|03/07/2020 16:18
1|80|2|03/07/2020 16:21
1|80|2|03/07/2020 16:24
1|50|5|03/10/2020 16:00
1|70|3|03/10/2020 16:03
1|70|3|03/10/2020 16:06
1|70|3|03/10/2020 16:09
1|75|3|03/10/2020 16:12
1|75|3|03/10/2020 16:15
1|75|3|03/10/2020 16:18
1|75|3|03/10/2020 16:21
1|75|3|03/10/2020 16:24
1|50|5|03/10/2020 16:27
1|60|5|03/10/2020 16:30
1|70|4|03/10/2020 16:33
1|70|4|03/10/2020 16:36
1|70|4|03/10/2020 16:39
1|70|4|03/10/2020 16:42
1|50|5|03/12/2020 16:00
1|60|5|03/12/2020 16:03
1|70|4|03/12/2020 16:06
1|70|4|03/12/2020 16:09
1|75|3|03/12/2020 16:12
1|75|3|03/12/2020 16:15
1|80|2|03/12/2020 16:18
1|80|2|03/12/2020 16:21
1|75|3|03/12/2020 16:24
1|75|3|03/12/2020 16:27
1|70|4|03/12/2020 16:30
1|60|5|03/12/2020 16:33
1|50|6|03/12/2020 16:36
1|50|5|03/14/2020 16:00
1|60|4|03/14/2020 16:03
1|70|3|03/14/2020 16:06
1|70|3|03/14/2020 16:09
1|80|2|03/14/2020 16:12
1|80|2|03/14/2020 16:15
1|80|2|03/14/2020 16:18
1|80|2|03/14/2020 16:21
1|80|2|03/14/2020 16:24
1|50|5|03/17/2020 16:00
1|70|3|03/17/2020 16:03
1|70|3|03/17/2020 16:06
1|70|3|03/17/2020 16:09
1|75|3|03/17/2020 16:12
1|75|3|03/17/2020 16:15
1|75|3|03/17/2020 16:18
1|75|3|03/17/2020 16:21
1|75|3|03/17/2020 16:24
1|50|5|03/17/2020 16:27
1|60|5|03/17/2020 16:30
1|70|4|03/17/2020 16:33
1|70|4|03/17/2020 16:36
1|70|4|03/17/2020 16:39
1|70|4|03/17/2020 16:42
1|50|5|03/19/2020 16:00
1|60|5|03/19/2020 16:03
1|70|4|03/19/2020 16:06
1|70|4|03/19/2020 16:09
1|75|3|03/19/2020 16:12
1|75|3|03/19/2020 16:15
1|80|2|03/19/2020 16:18
1|80|2|03/19/2020 16:21
1|75|3|03/19/2020 16:24
1|75|3|03/19/2020 16:27
1|70|4|03/19/2020 16:30
1|60|5|03/19/2020 16:33
1|50|6|03/19/2020 16:36
1|50|5|03/21/2020 16:00
1|60|4|03/21/2020 16:03
1|70|3|03/21/2020 16:06
1|70|3|03/21/2020 16:09
1|80|2|03/21/2020 16:12
1|80|2|03/21/2020 16:15
1|80|2|03/21/2020 16:18
1|80|2|03/21/2020 16:21
1|80|2|03/21/2020 16:24
1|50|5|03/24/2020 16:00
1|70|3|03/24/2020 16:03
1|70|3|03/24/2020 16:06
1|70|3|03/24/2020 16:09
1|75|3|03/24/2020 16:12
1|75|3|03/24/2020 16:15
1|75|3|03/24/2020 16:18
