Exercise|Percent1RM|Reps|Timestamp
1|50|10|03/03/2020 16:00
1|60|10|03/03/2020 16:03
1|70|8|03/03/2020 16:06
1|65|6|03/03/2020 16:09
1|75|6|03/03/2020 16:12
1|75|6|03/03/2020 16:15
1|75|6|03/03/2020 16:18
1|75|7|03/03/2020 16:21
1|60|9999|03/05/2020 16:24
1|70|5|03/05/2020 16:00
1|75|5|03/05/2020 16:03
1|80|5|03/05/2020 16:06
1|85|3|03/05/2020 16:09
1|85|3|03/05/2020 16:12
1|85|3|03/05/2020 16:15
1|90|2|03/05/2020 16:18
1|90|2|03/05/2020 16:21
1|60|9999|03/05/2020 16:24
1|60|5|03/07/2020 16:00
1|60|5|03/07/2020 16:03
1|60|5|03/07/2020 16:06
1|70|3|03/07/2020 16:09
1|70|3|03/07/2020 16:12
1|60|9999|03/07/2020 16:15
1|50|10|03/10/2020 16:00
1|60|10|03/10/2020 16:03
1|70|8|03/10/2020 16:06
1|65|6|03/10/2020 16:09
1|75|6|03/10/2020 16:12
1|75|6|03/10/2020 16:15
1|75|6|03/10/2020 16:18
1|75|7|03/10/2020 16:21
1|60|9999|03/12/2020 16:24
1|70|5|03/12/2020 16:00
1|75|5|03/12/2020 16:03
1|80|5|03/12/2020 16:06
1|85|3|03/12/2020 16:09
1|85|3|03/12/2020 16:12
1|85|3|03/12/2020 16:15
1|90|2|03/12/2020 16:18
1|90|2|03/12/2020 16:21
1|60|9999|03/12/2020 16:24
1|60|5|03/14/2020 16:00
1|60|5|03/14/2020 16:03
1|60|5|03/14/2020 16:06
1|70|3|03/14/2020 16:09
1|70|3|03/14/2020 16:12
1|60|9999|03/14/2020 16:15
1|50|10|03/17/2020 16:00
1|60|10|03/17/2020 16:03
1|70|8|03/17/2020 16:06
1|65|6|03/17/2020 16:09
1|75|6|03/17/2020 16:12
1|75|6|03/17/2020 16:15
1|75|6|03/17/2020 16:18
1|75|7|03/17/2020 16:21
1|60|9999|03/17/2020 16:24
1|70|5|03/19/2020 16:00
1|75|5|03/19/2020 16:03
1|80|5|03/19/2020 16:06
1|85|3|03/19/2020 16:09
1|85|3|03/19/2020 16:12
1|85|3|03/19/2020 16:15
1|90|2|03/19/2020 16:18
1|90|2|03/19/2020 16:21
1|60|9999|03/19/2020 16:24
1|60|5|03/21/2020 16:00
1|60|5|03/21/2020 16:03
1|60|5|03/21/2020 16:06
1|70|3|03/21/2020 16:09
1|70|3|03/21/2020 16:12
1|60|9999|03/21/2020 16:15
1|50|10|03/24/2020 16:00
1|60|10|03/24/2020 16:03
1|70|8|03/24/2020 16:06
1|65|6|03/24/2020 16:09
1|75|6|03/24/2020 16:12
1|75|6|03/24/2020 16:15
1|75|6|03/24/2020 16:18
1|75|7|03/24/2020 16:21
1|60|9999|03/24/2020 16:24
1|70|5|03/26/2020 16:00
1|75|5|03/26/2020 16:03
1|80|5|03/26/2020 16:06
1|85|3|03/26/2020 16:09
1|85|3|03/26/2020 16:12
1|85|3|03/26/2020 16:15
1|90|2|03/26/2020 16:18
1|90|2|03/26/2020 16:21
1|60|9999|03/26/2020 16:24
1|60|5|03/28/2020 16:00
1|60|5|03/28/2020 16:03
1|60|5|03/28/2020 16:06
1|70|3|03/28/2020 16:09
1|70|3|03/28/2020 16:12
1|60|9999|03/28/2020 16:15
1|50|10|03/31/2020 16:00
1|60|10|03/31/2020 16:03
1|70|8|03/31/2020 16:06
1|65|6|03/31/2020 16:09
1|75|6|03/31/2020 16:12
1|75|6|03/31/2020 16:15
1|75|6|03/31/2020 16:18
1|75|7|03/31/2020 16:21
1|60|9999|03/31/2020 16:24
1|70|5|04/02/2020 16:00
1|75|5|04/02/2020 16:03
1|80|5|04/02/2020 16:06
1|85|3|04/02/2020 16:09
1|85|3|04/02/2020 16:12
1|85|3|04/02/2020 16:15
1|90|2|04/02/2020 16:18
