Exercise|Percent1RM|Reps|Timestamp
1|75|10|03/02/2020 16:00
1|75|10|03/02/2020 16:03
1|75|10|03/02/2020 16:06
1|75|10|05/02/2020 16:00
1|75|10|05/02/2020 16:03
1|75|10|05/02/2020 16:06
1|75|10|07/02/2020 16:00
1|75|10|07/02/2020 16:03
1|75|10|07/02/2020 16:06
1|75|10|10/02/2020 16:00
1|75|10|10/02/2020 16:03
1|75|10|10/02/2020 16:06
1|75|10|12/02/2020 16:00
1|75|10|12/02/2020 16:03
1|75|10|12/02/2020 16:06
1|75|10|14/02/2020 16:00
1|75|10|14/02/2020 16:03
1|75|10|14/02/2020 16:06
1|75|10|17/02/2020 16:00
1|75|10|17/02/2020 16:03
1|75|10|17/02/2020 16:06
1|75|10|19/02/2020 16:00
1|75|10|19/02/2020 16:03
1|75|10|19/02/2020 16:06
1|75|10|21/02/2020 16:00
1|75|10|21/02/2020 16:03
1|75|10|21/02/2020 16:06
