Exercise|Percent1RM|Reps|Timestamp
1|75|10|02/03/2020 16:00
1|75|10|02/03/2020 16:03
1|75|10|02/03/2020 16:06
1|75|10|02/05/2020 16:00
1|75|10|02/05/2020 16:03
1|75|10|02/05/2020 16:06
1|75|10|02/07/2020 16:00
1|75|10|02/07/2020 16:03
1|75|10|02/07/2020 16:06
1|75|10|02/10/2020 16:00
1|75|10|02/10/2020 16:03
1|75|10|02/10/2020 16:06
1|75|10|02/12/2020 16:00
1|75|10|02/12/2020 16:03
1|75|10|02/12/2020 16:06
1|75|10|02/14/2020 16:00
1|75|10|02/14/2020 16:03
1|75|10|02/14/2020 16:06
1|75|10|02/17/2020 16:00
1|75|10|02/17/2020 16:03
1|75|10|02/17/2020 16:06
1|75|10|02/19/2020 16:00
1|75|10|02/19/2020 16:03
1|75|10|02/19/2020 16:06
1|75|10|02/21/2020 16:00
1|75|10|02/21/2020 16:03
1|75|10|02/21/2020 16:06
1|75|10|02/24/2020 16:00
1|75|10|02/24/2020 16:03
1|75|10|02/24/2020 16:06
1|75|10|02/26/2020 16:00
1|75|10|02/26/2020 16:03
1|75|10|02/26/2020 16:06
1|75|10|02/28/2020 16:00
1|75|10|02/28/2020 16:03
1|75|10|02/28/2020 16:06
1|75|10|03/02/2020 16:00
1|75|10|03/02/2020 16:03
1|75|10|03/02/2020 16:06
1|75|10|03/04/2020 16:00
1|75|10|03/04/2020 16:03
1|75|10|03/04/2020 16:06
1|75|10|03/06/2020 16:00
1|75|10|03/06/2020 16:03
1|75|10|03/06/2020 16:06
1|75|10|03/09/2020 16:00
1|75|10|03/09/2020 16:03
1|75|10|03/09/2020 16:06
1|75|10|03/11/2020 16:00
1|75|10|03/11/2020 16:03
1|75|10|03/11/2020 16:06
1|75|10|03/13/2020 16:00
1|75|10|03/13/2020 16:03
1|75|10|03/13/2020 16:06
